datetime,pickups,returns,net_flow,station_id,station_name,date,hour,minute,op_date,daily_cumulative
2026-06-01 15:45:00+00:00,2.0,0.0,-2.0,HB106,River St & Newark St,2026-06-01,15,45,2026-06-01,59.0
2026-06-01 16:00:00+00:00,2.0,0.0,-2.0,HB106,River St & Newark St,2026-06-01,16,0,2026-06-01,57.0
2026-06-01 16:15:00+00:00,2.0,0.0,-2.0,HB106,River St & Newark St,2026-06-01,16,15,2026-06-01,55.0
2026-06-01 16:30:00+00:00,3.0,0.0,-3.0,HB106,River St & Newark St,2026-06-01,16,30,2026-06-01,52.0
2026-06-01 16:45:00+00:00,4.0,2.0,-2.0,HB106,River St & Newark St,2026-06-01,16,45,2026-06-01,50.0
2026-06-01 17:00:00+00:00,8.0,2.0,-6.0,HB106,River St & Newark St,2026-06-01,17,0,2026-06-01,44.0
2026-06-01 17:15:00+00:00,8.0,1.0,-7.0,HB106,River St & Newark St,2026-06-01,17,15,2026-06-01,37.0
2026-06-01 17:30:00+00:00,11.0,1.0,-10.0,HB106,River St & Newark St,2026-06-01,17,30,2026-06-01,27.0
2026-06-01 17:45:00+00:00,7.0,0.0,-7.0,HB106,River St & Newark St,2026-06-01,17,45,2026-06-01,20.0
2026-06-01 18:00:00+00:00,3.0,0.0,-3.0,HB106,River St & Newark St,2026-06-01,18,0,2026-06-01,17.0
2026-06-01 18:15:00+00:00,4.0,4.0,0.0,HB106,River St & Newark St,2026-06-01,18,15,2026-06-01,17.0
2026-06-01 18:30:00+00:00,2.0,2.0,0.0,HB106,River St & Newark St,2026-06-01,18,30,2026-06-01,17.0
2026-06-01 18:45:00+00:00,6.0,1.0,-5.0,HB106,River St & Newark St,2026-06-01,18,45,2026-06-01,12.0
2026-06-01 19:00:00+00:00,4.0,0.0,-4.0,HB106,River St & Newark St,2026-06-01,19,0,2026-06-01,8.0
2026-06-01 19:15:00+00:00,2.0,0.0,-2.0,HB106,River St & Newark St,2026-06-01,19,15,2026-06-01,6.0
2026-06-01 19:30:00+00:00,0.0,2.0,2.0,HB106,River St & Newark St,2026-06-01,19,30,2026-06-01,8.0
2026-06-01 19:45:00+00:00,3.0,1.0,-2.0,HB106,River St & Newark St,2026-06-01,19,45,2026-06-01,6.0
2026-06-01 20:00:00+00:00,5.0,1.0,-4.0,HB106,River St & Newark St,2026-06-01,20,0,2026-06-01,2.0
2026-06-01 20:15:00+00:00,2.0,1.0,-1.0,HB106,River St & Newark St,2026-06-01,20,15,2026-06-01,1.0
2026-06-01 20:30:00+00:00,2.0,0.0,-2.0,HB106,River St & Newark St,2026-06-01,20,30,2026-06-01,-1.0
2026-06-01 20:45:00+00:00,1.0,1.0,0.0,HB106,River St & Newark St,2026-06-01,20,45,2026-06-01,-1.0
2026-06-01 21:00:00+00:00,1.0,0.0,-1.0,HB106,River St & Newark St,2026-06-01,21,0,2026-06-01,-2.0
2026-06-01 21:15:00+00:00,0.0,1.0,1.0,HB106,River St & Newark St,2026-06-01,21,15,2026-06-01,-1.0
2026-06-01 21:30:00+00:00,0.0,1.0,1.0,HB106,River St & Newark St,2026-06-01,21,30,2026-06-01,0.0
2026-06-01 21:45:00+00:00,2.0,0.0,-2.0,HB106,River St & Newark St,2026-06-01,21,45,2026-06-01,-2.0
2026-06-01 22:00:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-01,22,0,2026-06-01,-2.0
2026-06-01 22:15:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-01,22,15,2026-06-01,-2.0
2026-06-01 22:30:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-01,22,30,2026-06-01,-2.0
2026-06-01 22:45:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-01,22,45,2026-06-01,-2.0
2026-06-01 23:00:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-01,23,0,2026-06-01,-2.0
2026-06-01 23:15:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-01,23,15,2026-06-01,-2.0
2026-06-01 23:30:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-01,23,30,2026-06-01,-2.0
2026-06-01 23:45:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-01,23,45,2026-06-01,-2.0
2026-06-02 00:00:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,0,0,2026-06-01,-2.0
2026-06-02 00:15:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,0,15,2026-06-01,-2.0
2026-06-02 00:30:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,0,30,2026-06-01,-2.0
2026-06-02 00:45:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,0,45,2026-06-01,-2.0
2026-06-02 01:00:00+00:00,0.0,0.0,0.0,HB106,River St & Newark St,2026-06-02,1,0,2026-06-01,-2.0
